idx dataset name n m opt bp lc r_bp r_lc
0 Gset petersen 10 15 12.0 12.0 12.0 1.0000 1.0000
1 Gset cube 8 12 12.0 12.0 12.0 1.0000 1.0000
2 Gset grid_4x3 12 17 17.0 17.0 14.0 1.0000 0.8235
3 Gset cycle_8 8 8 8.0 8.0 8.0 1.0000 1.0000
4 BiqMac spinglass2d_L4_s0 16 24 7.0 5.0 4.0 0.7143 0.5714
5 BiqMac spinglass2d_L5_s0 25 40 13.0 4.0 0 0.3077 0.0000
6 BiqMac torus2d_L4_s1 16 32 20.0 14.0 12.0 0.7000 0.6000
7 BiqMac pm1s_n20_s2 20 59 24.0 13.0 10.0 0.5417 0.4167
8 BiqMac g05_n12_s3 12 38 27.000000000000014 27.0 27.0 1.0000 1.0000
9 DIMACS petersen 10 15 12.0 12.0 12.0 1.0000 1.0000
10 DIMACS myciel3 11 20 16.0 15.0 16.0 0.9375 1.0000
11 DIMACS k4 4 6 4.0 4.0 4.0 1.0000 1.0000
12 DIMACS c6 6 6 6.0 6.0 6.0 1.0000 1.0000
13 DIMACS queen5_5 6 9 7.0 7.0 7.0 1.0000 1.0000
