n,seed,backend,warm_start,n_steps,tol,wall_mean,wall_total,wall_first,wall_steady,nmv_mean,lam_first,lam_last
500,0,scipy_arpack,0,10,1e-06,0.002212549984687939,0.022125499846879393,0.0022810999653302133,0.002204933320172131,75.0,-1.5182762718187386,-1.5934721705797328
500,0,scipy_arpack,1,10,1e-06,0.0020294899994041772,0.02029489999404177,0.0019234999781474471,0.0020412666684327028,66.0,-1.5182762718209275,-1.593472170588079
500,0,scipy_lobpcg,0,10,1e-06,0.022908010001992808,0.22908010001992807,0.02965300000505522,0.022158566668319207,106.3,-1.5182762718040868,-1.5934721705686716
500,0,scipy_lobpcg,1,10,1e-06,0.020501409994903953,0.20501409994903952,0.02838609996251762,0.019625333331835765,103.9,-1.5182762718040868,-1.5934721705846926
500,0,cupy_lanczos,0,10,1e-06,0.10515438999282196,1.0515438999282196,0.6899634999572299,0.04017559999677663,97.0,-1.5182762718207965,-1.593472170588732
500,0,cupy_lanczos,1,10,1e-06,0.03656070998404175,0.3656070998404175,0.044173299975227565,0.03571486665168777,87.4,-1.5182762718099554,-1.5934721705885864
500,0,cupy_lobpcg,0,10,1e-06,0.611400629999116,6.114006299991161,1.3143617999739945,0.5332938333352407,106.6,-1.5182762717993912,-1.5934721705691695
500,0,cupy_lobpcg,1,10,1e-06,0.5495347800024319,5.495347800024319,0.7322874999954365,0.5292289222254314,106.1,-1.5182762717993912,-1.5934721705846941
500,1,scipy_arpack,0,10,1e-06,0.001837510004406795,0.01837510004406795,0.0024260999634861946,0.0017721111200646395,72.0,-1.500181681672056,-1.6382578799602436
500,1,scipy_arpack,1,10,1e-06,0.0014586700068321078,0.014586700068321079,0.0028350999928079545,0.0013057333417236805,59.0,-1.5001816816681643,-1.6382578799599694
500,1,scipy_lobpcg,0,10,1e-06,0.01757152999052778,0.1757152999052778,0.03539420000743121,0.015591233321982954,101.7,-1.500179543847077,-1.6382578799579823
500,1,scipy_lobpcg,1,10,1e-06,0.01721544999163598,0.17215449991635978,0.033029899990651757,0.015458288880634226,103.6,-1.500179543847077,-1.6382578799579102
500,1,cupy_lanczos,0,10,1e-06,0.03285428000963293,0.3285428000963293,0.060641199990641326,0.029766844456187554,93.8,-1.500181681671683,-1.6382578799602598
500,1,cupy_lanczos,1,10,1e-06,0.028749980009160937,0.28749980009160936,0.06415509997168556,0.024816077791102644,77.8,-1.5001816816718767,-1.638257879960199
500,1,cupy_lobpcg,0,10,1e-06,0.5799756000051275,5.799756000051275,0.469333499961067,0.5922691666766897,99.4,-1.500181681639808,-1.6382578799579663
500,1,cupy_lobpcg,1,10,1e-06,0.47274103001109324,4.727410300110932,0.4720610000076704,0.47281658890036243,92.5,-1.500181681639808,-1.6382578799579113
500,2,scipy_arpack,0,10,1e-06,0.001584419998107478,0.01584419998107478,0.0022610999876633286,0.0015092333326012725,70.0,-1.5035666412571351,-1.6052310704782713
500,2,scipy_arpack,1,10,1e-06,0.0013286100002005696,0.013286100002005696,0.002679399971384555,0.0011785222256245713,61.0,-1.5035666412567419,-1.605231070478378
500,2,scipy_lobpcg,0,10,1e-06,0.021320529998047278,0.21320529998047277,0.01819410000462085,0.02166791110842799,125.2,-1.5035666412517716,-1.605231070469521
500,2,scipy_lobpcg,1,10,1e-06,0.013937019993318246,0.13937019993318245,0.0170516999787651,0.013590944439379705,78.8,-1.5035666412517716,-1.6052310704759758
500,2,cupy_lanczos,0,10,1e-06,0.03542119000339881,0.35421190003398806,0.05726879998110235,0.03299367778365397,97.0,-1.5035666412572608,-1.6052310704783772
500,2,cupy_lanczos,1,10,1e-06,0.03442270999657922,0.34422709996579215,0.05370180000318214,0.032280588884734444,90.6,-1.5035666412573927,-1.6052310704784316
500,2,cupy_lobpcg,0,10,1e-06,0.5143893700151239,5.143893700151239,0.6110366000211798,0.5036507889033399,106.1,-1.5035666412443471,-1.605231070469291
500,2,cupy_lobpcg,1,10,1e-06,0.36354871999355964,3.6354871999355964,0.5562717999564484,0.34213504444212756,80.2,-1.5035666412443471,-1.6052310704759756
1000,0,scipy_arpack,0,10,1e-06,0.0013502900023013354,0.013502900023013353,0.0016171999741345644,0.0013206333387643099,47.0,-1.554029765622832,-1.66331178285056
1000,0,scipy_arpack,1,10,1e-06,0.001057829993078485,0.010578299930784851,0.001692799967713654,0.0009872777736745775,34.0,-1.5540297656169868,-1.6633117828505837
1000,0,scipy_lobpcg,0,10,1e-06,0.008186289994046091,0.08186289994046092,0.009172999998554587,0.008076655549100704,46.7,-1.5540297656206659,-1.663311782845661
1000,0,scipy_lobpcg,1,10,1e-06,0.005370349995791912,0.05370349995791912,0.008690499991644174,0.005001444440697216,31.4,-1.5540297656206659,-1.663311782849096
1000,0,cupy_lanczos,0,10,1e-06,0.022530469996854662,0.22530469996854663,0.02713260002201423,0.022019122216281377,65.0,-1.554029765623136,-1.6633117828505108
1000,0,cupy_lanczos,1,10,1e-06,0.014587179996306076,0.14587179996306077,0.02745569997932762,0.013157344442637017,39.4,-1.554029765622993,-1.6633117828506052
1000,0,cupy_lobpcg,0,10,1e-06,1.3646806199976709,13.646806199976709,11.522544100007508,0.2360291222188001,46.2,-1.5540297656200315,-1.663311782847198
1000,0,cupy_lobpcg,1,10,1e-06,0.15710433999774978,1.5710433999774978,0.25021029997151345,0.14675923333399826,30.4,-1.5540297656200315,-1.6633117828490964
1000,1,scipy_arpack,0,10,1e-06,0.002254569996148348,0.02254569996148348,0.0037674999912269413,0.0020864666633618376,56.0,-1.511677195352722,-1.6853987970655635
1000,1,scipy_arpack,1,10,1e-06,0.0015866699977777898,0.0158666999777779,0.003576399991288781,0.0013655888873876797,42.0,-1.511677195358854,-1.6853987970665656
1000,1,scipy_lobpcg,0,10,1e-06,0.012432969990186393,0.12432969990186393,0.023961599974427372,0.011152011103048507,64.3,-1.5116771953576977,-1.6853987970655668
1000,1,scipy_lobpcg,1,10,1e-06,0.012299980007810518,0.12299980007810518,0.024956700042821467,0.01089367778169819,63.9,-1.5116771953576977,-1.6853987970650666
1000,1,cupy_lanczos,0,10,1e-06,0.03270693998783827,0.3270693998783827,0.06799809995573014,0.028785699991405837,84.2,-1.511677195365468,-1.6853987970668374
1000,1,cupy_lanczos,1,10,1e-06,0.024242540000705047,0.24242540000705048,0.053181600000243634,0.021027088889645204,58.6,-1.511677195363638,-1.6853987970668383
1000,1,cupy_lobpcg,0,10,1e-06,0.35232915001106446,3.523291500110645,0.7712530000135303,0.3057820555663461,71.8,-1.5116771953529362,-1.6853987970652171
1000,1,cupy_lobpcg,1,10,1e-06,0.30160469000111334,3.0160469000111334,0.6773417000076734,0.25985613333371776,63.4,-1.5116771953529362,-1.6853987970650661
1000,2,scipy_arpack,0,10,1e-06,0.0020962299953680486,0.020962299953680485,0.004061200015712529,0.0018778999931075508,74.0,-1.5011904463419,-1.6026580597090097
1000,2,scipy_arpack,1,10,1e-06,0.0018426999973598867,0.018426999973598868,0.0032577000092715025,0.0016854777738141518,59.0,-1.501190446345241,-1.6026580597068116
1000,2,scipy_lobpcg,0,10,1e-06,0.02350504999049008,0.2350504999049008,0.02522720000706613,0.023313699988648295,124.9,-1.5011904463380255,-1.602658059701832
1000,2,scipy_lobpcg,1,10,1e-06,0.016006699996069074,0.16006699996069074,0.02746859996113926,0.014733155555505719,87.6,-1.5011904463380255,-1.6026580597079243
1000,2,cupy_lanczos,0,10,1e-06,0.034352570003829894,0.34352570003829896,0.05810970003949478,0.03171288888875602,90.6,-1.5011904463414005,-1.6026580597038278
1000,2,cupy_lanczos,1,10,1e-06,0.030985419993521647,0.30985419993521646,0.06331060000229627,0.02739373332588002,87.4,-1.5011904463466281,-1.6026580597096343
1000,2,cupy_lobpcg,0,10,1e-06,0.5100480900146067,5.100480900146067,0.7735806000418961,0.48076670001157457,107.9,-1.5011904463323402,-1.602658059706713
1000,2,cupy_lobpcg,1,10,1e-06,0.4181692800077144,4.181692800077144,0.7980625000200234,0.37595892222856897,88.9,-1.5011904463323402,-1.6026580597079219
2000,0,scipy_arpack,0,10,1e-06,0.0030399300099816172,0.030399300099816173,0.00268030003644526,0.0030798888959301016,75.0,-1.5446277285252197,-1.6251760306142407
2000,0,scipy_arpack,1,10,1e-06,0.002394179999828339,0.023941799998283386,0.00236169999698177,0.002397788889033513,61.0,-1.5446277285249561,-1.625176030618579
2000,0,scipy_lobpcg,0,10,1e-06,0.02152248999918811,0.2152248999918811,0.014979300030972809,0.022249511106767587,108.7,-1.5446277285211136,-1.6251760305982021
2000,0,scipy_lobpcg,1,10,1e-06,0.021528600010788067,0.21528600010788068,0.013012400013394654,0.022474844454942893,109.5,-1.5446277285211136,-1.62517603061608
2000,0,cupy_lanczos,0,10,1e-06,0.04373711999505758,0.43737119995057583,0.02890729997307062,0.04538487777527836,122.6,-1.5446277285253518,-1.6251760306187508
2000,0,cupy_lanczos,1,10,1e-06,0.03100311999442056,0.3100311999442056,0.03920800000196323,0.03009146666024915,87.4,-1.5446277285254122,-1.625176030617977
2000,0,cupy_lobpcg,0,10,1e-06,1.396548480016645,13.96548480016645,6.22826330002863,0.8596912777930912,146.6,-1.5446277285208163,-1.625176030607342
2000,0,cupy_lobpcg,1,10,1e-06,0.5205758800031617,5.205758800031617,0.2999889999628067,0.545085533340979,107.4,-1.5446277285208163,-1.6251760306160796
2000,1,scipy_arpack,0,10,1e-06,0.0028817999933380633,0.028817999933380634,0.003838100004941225,0.0027755444364932678,67.0,-1.530287747930836,-1.6454060652970515
2000,1,scipy_arpack,1,10,1e-06,0.0019433000008575619,0.01943300000857562,0.00312030001077801,0.0018125222219775121,45.0,-1.5302877479324595,-1.6454060652934657
