idx t_ub ub t_lb lb source opt
0 0.000255 139.131329 0.000012 9.000000 alternating 16.000000
1 0.000379 87.778452 0.069138 15.000000 mpqs_bp 16.000000
2 0.000473 78.650489 0.069479 16.000000 fw_gw_rounding 16.000000
3 0.000587 69.392108 0.069501 16.000000 1flip_polish 16.000000
4 0.000665 63.359748 nan nan -- 16.000000
5 0.000737 55.297440 nan nan -- 16.000000
6 0.000809 45.803781 nan nan -- 16.000000
7 0.000877 34.749898 nan nan -- 16.000000
8 0.000936 25.218358 nan nan -- 16.000000
9 0.001055 22.905425 nan nan -- 16.000000
10 0.001125 22.661453 nan nan -- 16.000000
11 0.001185 21.158012 nan nan -- 16.000000
12 0.001242 20.360174 nan nan -- 16.000000
13 0.001297 19.398539 nan nan -- 16.000000
14 0.001353 19.398539 nan nan -- 16.000000
15 0.001411 19.398539 nan nan -- 16.000000
16 0.001469 18.576518 nan nan -- 16.000000
17 0.001525 18.576518 nan nan -- 16.000000
18 0.001580 18.576518 nan nan -- 16.000000
19 0.001635 18.576518 nan nan -- 16.000000
20 0.001691 18.576518 nan nan -- 16.000000
21 0.001747 18.576518 nan nan -- 16.000000
22 0.001802 18.576518 nan nan -- 16.000000
23 0.001856 18.576518 nan nan -- 16.000000
24 0.001910 18.576518 nan nan -- 16.000000
25 0.001975 18.576518 nan nan -- 16.000000
26 0.002036 18.576518 nan nan -- 16.000000
27 0.002093 18.576518 nan nan -- 16.000000
28 0.002149 18.360767 nan nan -- 16.000000
29 0.002205 18.360767 nan nan -- 16.000000
30 0.002260 18.360767 nan nan -- 16.000000
31 0.002313 18.360767 nan nan -- 16.000000
32 0.002370 18.360767 nan nan -- 16.000000
33 0.002425 18.360767 nan nan -- 16.000000
34 0.002481 18.360767 nan nan -- 16.000000
35 0.002551 18.360767 nan nan -- 16.000000
36 0.002619 18.287339 nan nan -- 16.000000
37 0.002677 18.287339 nan nan -- 16.000000
38 0.002734 18.287339 nan nan -- 16.000000
39 0.002790 18.287339 nan nan -- 16.000000
40 0.002844 18.287339 nan nan -- 16.000000
41 0.002902 18.287339 nan nan -- 16.000000
42 0.002965 18.287339 nan nan -- 16.000000
43 0.003026 18.287339 nan nan -- 16.000000
44 0.003086 18.287339 nan nan -- 16.000000
45 0.003144 18.287339 nan nan -- 16.000000
46 0.003200 18.253521 nan nan -- 16.000000
47 0.003256 18.253521 nan nan -- 16.000000
48 0.003312 18.253521 nan nan -- 16.000000
49 0.003367 18.241668 nan nan -- 16.000000
50 0.003425 18.241668 nan nan -- 16.000000
51 0.003481 18.231966 nan nan -- 16.000000
52 0.003537 18.214993 nan nan -- 16.000000
53 0.003595 18.197959 nan nan -- 16.000000
54 0.003651 18.197959 nan nan -- 16.000000
55 0.003706 18.197959 nan nan -- 16.000000
56 0.003761 18.193093 nan nan -- 16.000000
57 0.003816 18.013695 nan nan -- 16.000000
58 0.003871 18.013695 nan nan -- 16.000000
59 0.003927 18.013695 nan nan -- 16.000000
60 0.003991 18.013695 nan nan -- 16.000000
61 0.004049 18.013695 nan nan -- 16.000000
62 0.004105 18.013695 nan nan -- 16.000000
63 0.004161 18.013695 nan nan -- 16.000000
64 0.004333 17.987524 nan nan -- 16.000000
65 0.004391 17.987524 nan nan -- 16.000000
66 0.004446 17.987524 nan nan -- 16.000000
67 0.004499 17.949738 nan nan -- 16.000000
68 0.004575 17.949738 nan nan -- 16.000000
69 0.004640 17.949738 nan nan -- 16.000000
